Latitude,Longtitude,State,LGA,Population,Number of households,Number of households offgrid,Number of people owning mobile phones,Number of households owning radios,Number of ABC1 consumers,Median annual household spending per capita,"Number of households spending over 110,000 N annually per capita","Number of households spending over 5,000 N monthly on energy","Number of households spending over 10,000 N monthly on energy","Number of households spending over 250,000 N annually on discretionary expenses",Number of households with generators,Number of households with televisions,Proportion of households offgrid,Proportion of people owning mobile phones,Proportion of households owning radios,Proportion of ABC1 consumers,"Proportion of households spending over 110,000 N annually per capita","Proportion of households spending over 5,000 N monthly on energy","Proportion of households spending over 10,000 N monthly on energy","Proportion of households spending over 250,000 N annually on discretionary expenses",Proportion of households with generators,Proportion of households with televisions
6.645833333,3.3125,Lagos,Agege,"  33,241 ","  7,029 ",  161 ,"  32,197 ","  5,523 ","  21,719 ","  193,884 ","  6,218 ","  3,060 ",  754 ,"  6,074 ","  3,872 ","  6,785 ",2%,97%,79%,65%,88%,44%,11%,86%,55%,97%
6.612499999,3.329166667,Lagos,Agege,"  53,769 ","  11,276 ",  396 ,"  50,032 ","  8,735 ","  29,290 ","  452,287 ","  10,598 ","  6,041 ","  3,015 ","  10,665 ","  5,906 ","  10,213 ",4%,93%,77%,54%,94%,54%,27%,95%,52%,91%
6.637499999,3.304166667,Lagos,Agege,"  16,379 ","  3,431 ",  65 ,"  15,839 ","  2,679 ","  10,556 ","  239,259 ","  2,860 ","  1,043 ",  114 ,"  2,998 ","  1,812 ","  3,339 ",2%,97%,78%,64%,83%,30%,3%,87%,53%,97%
6.620833333,3.329166667,Lagos,Agege,"  60,422 ","  12,629 ",  479 ,"  56,545 ","  9,758 ","  28,235 ","  437,440 ","  11,473 ","  6,503 ","  2,676 ","  11,350 ","  6,675 ","  11,413 ",4%,94%,77%,47%,91%,51%,21%,90%,53%,90%
6.629166666,3.320833334,Lagos,Agege,"  37,986 ","  7,875 ",  284 ,"  36,041 ","  5,980 ","  20,555 ","  411,438 ","  7,044 ","  3,616 ","  1,177 ","  6,229 ","  3,385 ","  6,845 ",4%,95%,76%,54%,89%,46%,15%,79%,43%,87%
6.620833333,3.320833334,Lagos,Agege,"  45,952 ","  9,520 ",  370 ,"  43,339 ","  7,248 ","  23,986 ","  454,821 ","  8,656 ","  4,981 ","  2,263 ","  8,312 ","  4,841 ","  8,686 ",4%,94%,76%,52%,91%,52%,24%,87%,51%,91%
6.629166666,3.304166667,Lagos,Agege,"  32,404 ","  6,702 ",  186 ,"  31,382 ","  5,154 ","  20,480 ","  333,400 ","  6,014 ","  2,977 ",  494 ,"  6,052 ","  3,461 ","  6,328 ",3%,97%,77%,63%,90%,44%,7%,90%,52%,94%
6.637499999,3.3125,Lagos,Agege,"  45,115 ","  9,322 ",  254 ,"  43,428 ","  7,226 ","  26,735 ","  272,183 ","  8,105 ","  3,676 ",  968 ,"  7,866 ","  4,593 ","  8,676 ",3%,96%,78%,59%,87%,39%,10%,84%,49%,93%
6.612499999,3.320833334,Lagos,Agege,"  64,492 ","  13,300 ",  383 ,"  60,600 ","  10,191 ","  37,511 ","  472,898 ","  12,511 ","  7,009 ","  2,701 ","  12,599 ","  6,119 ","  12,229 ",3%,94%,77%,58%,94%,53%,20%,95%,46%,92%
6.629166666,3.3125,Lagos,Agege,"  41,741 ","  8,566 ",  289 ,"  40,025 ","  6,550 ","  24,040 ","  398,472 ","  7,683 ","  3,665 ","  1,387 ","  7,390 ","  3,983 ","  7,767 ",3%,96%,76%,58%,90%,43%,16%,86%,46%,91%
6.620833333,3.304166667,Lagos,Agege,"  58,170 ","  11,922 ",  379 ,"  56,015 ","  9,124 ","  34,479 ","  410,692 ","  11,102 ","  5,629 ","  1,490 ","  11,047 ","  6,103 ","  11,174 ",3%,96%,77%,59%,93%,47%,13%,93%,51%,94%
6.620833333,3.3125,Lagos,Agege,"  65,215 ","  13,364 ",  491 ,"  62,094 ","  10,182 ","  34,464 ","  454,794 ","  12,352 ","  6,403 ","  2,602 ","  11,993 ","  6,346 ","  12,435 ",4%,95%,76%,53%,92%,48%,19%,90%,47%,93%
6.612499999,3.3125,Lagos,Agege,"  65,282 ","  13,332 ",  375 ,"  61,776 ","  10,185 ","  37,503 ","  463,774 ","  12,222 ","  6,431 ","  1,609 ","  12,633 ","  4,820 ","  12,257 ",3%,95%,76%,57%,92%,48%,12%,95%,36%,92%
6.462499999,3.354166667,Lagos,Ajeromi/Ifelodun,"  58,774 ","  12,619 ",  211 ,"  56,738 ","  9,676 ","  27,254 ","  370,910 ","  12,296 ","  3,813 ","  2,927 ","  11,790 ","  7,714 ","  9,645 ",2%,97%,77%,46%,97%,30%,23%,93%,61%,76%
6.437499999,3.345833334,Lagos,Ajeromi/Ifelodun,"  29,989 ","  6,393 ",  114 ,"  28,533 ","  4,921 ","  17,417 ","  388,558 ","  6,359 ","  2,667 ","  2,468 ","  6,177 ","  4,614 ","  5,636 ",2%,95%,77%,58%,99%,42%,39%,97%,72%,88%
6.454166666,3.354166667,Lagos,Ajeromi/Ifelodun,"  48,096 ","  10,218 ",  221 ,"  47,061 ","  7,641 ","  30,979 ","  396,694 ","  10,037 ","  2,560 ",  919 ,"  9,733 ","  7,565 ","  8,743 ",2%,98%,75%,64%,98%,25%,9%,95%,74%,86%
6.445833333,3.345833334,Lagos,Ajeromi/Ifelodun,"  78,240 ","  16,554 ",  442 ,"  75,997 ","  12,362 ","  52,170 ","  374,346 ","  16,505 ","  6,710 ","  6,434 ","  16,016 ","  12,046 ","  14,536 ",3%,97%,75%,67%,100%,41%,39%,97%,73%,88%
6.454166666,3.345833334,Lagos,Ajeromi/Ifelodun,"  91,366 ","  19,257 ",  724 ,"  88,390 ","  14,059 ","  58,974 ","  390,740 ","  19,077 ","  4,093 ","  6,244 ","  18,560 ","  13,964 ","  15,668 ",4%,97%,73%,65%,99%,21%,32%,96%,73%,81%
6.462499999,3.345833334,Lagos,Ajeromi/Ifelodun,"  93,630 ","  19,630 ",  482 ,"  90,764 ","  14,766 ","  37,097 ","  390,204 ","  19,070 ","  6,597 ","  5,079 ","  18,671 ","  13,111 ","  15,953 ",2%,97%,75%,40%,97%,34%,26%,95%,67%,81%
6.445833333,3.3375,Lagos,Ajeromi/Ifelodun,"  83,182 ","  17,435 ",  424 ,"  79,750 ","  12,849 ","  56,430 ","  385,163 ","  17,398 ","  7,364 ","  5,001 ","  16,908 ","  13,465 ","  14,710 ",2%,96%,74%,68%,100%,42%,29%,97%,77%,84%
6.454166666,3.3375,Lagos,Ajeromi/Ifelodun,"  82,642 ","  17,236 ",  649 ,"  79,736 ","  12,643 ","  52,743 ","  415,298 ","  16,925 ","  2,958 ","  4,817 ","  16,627 ","  14,001 ","  13,969 ",4%,96%,73%,64%,98%,17%,28%,96%,81%,81%
6.445833333,3.329166667,Lagos,Ajeromi/Ifelodun,"  77,550 ","  16,094 ",  468 ,"  73,652 ","  11,661 ","  49,861 ","  399,155 ","  15,858 ","  6,737 ","  2,725 ","  15,441 ","  13,395 ","  14,075 ",3%,95%,72%,64%,99%,42%,17%,96%,83%,87%
6.462499999,3.3375,Lagos,Ajeromi/Ifelodun,"  78,672 ","  16,322 ",  620 ,"  76,910 ","  12,011 ","  41,966 ","  416,571 ","  15,886 ","  4,885 ","  4,320 ","  15,590 ","  13,499 ","  14,075 ",4%,98%,74%,53%,97%,30%,26%,96%,83%,86%
6.454166666,3.329166667,Lagos,Ajeromi/Ifelodun,"  67,532 ","  13,901 ",  397 ,"  65,348 ","  10,022 ","  43,384 ","  392,833 ","  13,725 ","  1,115 ","  1,299 ","  13,440 ","  13,158 ","  13,057 ",3%,97%,72%,64%,99%,8%,9%,97%,95%,94%
6.445833333,3.320833334,Lagos,Ajeromi/Ifelodun,"  35,856 ","  7,378 ",  140 ,"  33,852 ","  5,358 ","  22,988 ","  420,623 ","  7,093 ","  3,167 ",  538 ,"  6,980 ","  6,288 ","  6,621 ",2%,94%,73%,64%,96%,43%,7%,95%,85%,90%
6.470833333,3.3375,Lagos,Ajeromi/Ifelodun,"  63,209 ","  13,005 ",  616 ,"  62,209 ","  9,426 ","  36,964 ","  421,804 ","  12,732 ","  3,816 ","  2,298 ","  12,419 ","  9,542 ","  11,848 ",5%,98%,72%,58%,98%,29%,18%,95%,73%,91%
6.462499999,3.329166667,Lagos,Ajeromi/Ifelodun,"  67,466 ","  13,786 ",  410 ,"  66,517 ","  10,318 ","  41,845 ","  373,261 ","  13,654 ","  6,109 ","  2,217 ","  13,354 ","  12,835 ","  13,189 ",3%,99%,75%,62%,99%,44%,16%,97%,93%,96%
6.454166666,3.320833334,Lagos,Ajeromi/Ifelodun,"  35,025 ","  7,126 ",  140 ,"  34,091 ","  5,201 ","  23,225 ","  390,384 ","  6,991 ","  2,124 ",  504 ,"  6,871 ","  6,789 ","  7,090 ",2%,97%,73%,66%,98%,30%,7%,96%,95%,100%
6.537499999,3.229166667,Lagos,Alimosho,"  15,007 ","  4,021 ",  625 ,"  14,973 ","  2,934 ","  10,124 ","  223,459 ","  3,785 ","  2,279 ","  1,265 ","  3,665 ","  1,822 ","  3,700 ",16%,100%,73%,67%,94%,57%,31%,91%,45%,92%
6.529166666,3.2375,Lagos,Alimosho,"  18,847 ","  5,000 ",  521 ,"  18,614 ","  3,620 ","  12,609 ","  177,050 ","  4,637 ","  3,087 ","  1,128 ","  4,338 ","  2,966 ","  4,682 ",10%,99%,72%,67%,93%,62%,23%,87%,59%,94%
6.529166666,3.229166667,Lagos,Alimosho,"  10,439 ","  2,767 ",  357 ,"  10,411 ","  1,983 ","  6,663 ","  234,731 ","  2,565 ","  1,558 ",  702 ,"  2,472 ","  1,681 ","  2,566 ",13%,100%,72%,64%,93%,56%,25%,89%,61%,93%
6.629166666,3.254166667,Lagos,Alimosho,"  9,395 ","  2,488 ",  731 ,"  9,108 ","  1,786 ","  6,213 ","  303,545 ","  2,424 ","  2,022 ","  1,908 ","  2,272 ",  172 ,"  2,434 ",29%,97%,72%,66%,97%,81%,77%,91%,7%,98%
6.662499999,3.254166667,Lagos,Alimosho,"  17,909 ","  4,728 ",  412 ,"  17,331 ","  3,306 ","  12,005 ","  296,037 ","  4,446 ","  3,388 ","  1,219 ","  3,439 ","  1,174 ","  4,456 ",9%,97%,70%,67%,94%,72%,26%,73%,25%,94%
6.537499999,3.2375,Lagos,Alimosho,"  12,775 ","  3,372 ",  438 ,"  12,662 ","  2,483 ","  8,928 ","  190,779 ","  3,132 ","  1,986 ",  914 ,"  2,991 ","  1,682 ","  3,128 ",13%,99%,74%,70%,93%,59%,27%,89%,50%,93%
6.520833333,3.2375,Lagos,Alimosho,"  13,871 ","  3,651 ",  273 ,"  13,642 ","  2,538 ","  9,110 ","  236,694 ","  3,259 ","  2,095 ",  660 ,"  3,104 ","  2,438 ","  3,433 ",7%,98%,70%,66%,89%,57%,18%,85%,67%,94%
6.545833333,3.229166667,Lagos,Alimosho,"  16,209 ","  4,265 ",  682 ,"  16,089 ","  3,114 ","  11,289 ","  212,452 ","  4,028 ","  2,317 ","  1,234 ","  3,919 ","  1,773 ","  3,889 ",16%,99%,73%,70%,94%,54%,29%,92%,42%,91%
6.654166666,3.254166667,Lagos,Alimosho,"  19,312 ","  5,069 ",  584 ,"  18,662 ","  3,599 ","  12,945 ","  294,955 ","  4,692 ","  3,666 ","  1,903 ","  3,581 ","  1,232 ","  4,752 ",12%,97%,71%,67%,93%,72%,38%,71%,24%,94%
6.620833333,3.245833334,Lagos,Alimosho,"  12,230 ","  3,209 ",  904 ,"  11,805 ","  2,291 ","  7,263 ","  220,414 ","  2,949 ","  1,471 ","  1,243 ","  2,859 ",  779 ,"  3,038 ",28%,97%,71%,59%,92%,46%,39%,89%,24%,95%
6.545833333,3.220833334,Lagos,Alimosho,"  12,792 ","  3,356 ",  458 ,"  12,733 ","  2,390 ","  8,609 ","  222,321 ","  3,177 ","  1,714 ","  1,086 ","  3,086 ","  1,489 ","  3,089 ",14%,100%,71%,67%,95%,51%,32%,92%,44%,92%
6.537499999,3.220833334,Lagos,Alimosho,"  14,505 ","  3,803 ",  341 ,"  14,496 ","  2,726 ","  9,410 ","  227,929 ","  3,533 ","  1,981 ","  1,118 ","  3,479 ","  2,066 ","  3,562 ",9%,100%,72%,65%,93%,52%,29%,91%,54%,94%
6.637499999,3.254166667,Lagos,Alimosho,"  14,508 ","  3,801 ",  781 ,"  13,968 ","  2,701 ","  9,675 ","  316,028 ","  3,658 ","  2,921 ","  2,202 ","  3,138 ",  371 ,"  3,698 ",21%,96%,71%,67%,96%,77%,58%,83%,10%,97%
6.629166666,3.245833334,Lagos,Alimosho,"  15,813 ","  4,138 ","  1,529 ","  15,227 ","  2,922 ","  8,429 ","  216,184 ","  3,759 ","  1,987 ","  1,580 ","  3,467 ",  824 ,"  3,855 ",37%,96%,71%,53%,91%,48%,38%,84%,20%,93%
6.662499999,3.245833334,Lagos,Alimosho,"  9,751 ","  2,550 ",  302 ,"  9,357 ","  1,704 ","  5,680 ","  239,681 ","  2,349 ","  1,507 ","  1,009 ","  1,989 ",  496 ,"  2,465 ",12%,96%,67%,58%,92%,59%,40%,78%,19%,97%
6.554166666,3.220833334,Lagos,Alimosho,"  18,959 ","  4,952 ",  890 ,"  18,739 ","  3,529 ","  13,347 ","  218,778 ","  4,691 ","  2,383 ","  1,520 ","  4,552 ","  1,991 ","  4,474 ",18%,99%,71%,70%,95%,48%,31%,92%,40%,90%
6.645833333,3.254166667,Lagos,Alimosho,"  18,171 ","  4,745 ",  591 ,"  17,477 ","  3,389 ","  10,031 ","  292,662 ","  4,417 ","  3,459 ","  2,117 ","  3,489 ",  945 ,"  4,548 ",12%,96%,71%,55%,93%,73%,45%,74%,20%,96%
6.620833333,3.254166667,Lagos,Alimosho,"  9,879 ","  2,578 ",  578 ,"  9,657 ","  1,866 ","  6,677 ","  257,537 ","  2,457 ","  1,480 ","  1,225 ","  2,325 ",  530 ,"  2,494 ",22%,98%,72%,68%,95%,57%,48%,90%,21%,97%
6.670833333,3.254166667,Lagos,Alimosho,"  19,324 ","  5,032 ",  520 ,"  18,620 ","  3,503 ","  10,956 ","  265,827 ","  4,753 ","  3,444 ",  953 ,"  3,551 ","  1,354 ","  4,850 ",10%,96%,70%,57%,94%,68%,19%,71%,27%,96%
6.654166666,3.245833334,Lagos,Alimosho,"  16,370 ","  4,257 ",  517 ,"  15,641 ","  2,930 ","  10,017 ","  232,139 ","  3,845 ","  2,659 ","  1,977 ","  3,327 ",  971 ,"  3,972 ",12%,96%,69%,61%,90%,62%,46%,78%,23%,93%
6.645833333,3.245833334,Lagos,Alimosho,"  16,437 ","  4,265 ",  636 ,"  15,664 ","  2,984 ","  8,578 ","  226,998 ","  3,850 ","  2,637 ","  2,077 ","  3,344 ",  978 ,"  3,995 ",15%,95%,70%,52%,90%,62%,49%,78%,23%,94%
6.679166666,3.254166667,Lagos,Alimosho,"  8,112 ","  2,105 ",  249 ,"  7,792 ","  1,482 ","  4,572 ","  217,089 ","  1,961 ","  1,333 ",  390 ,"  1,440 ",  631 ,"  2,061 ",12%,96%,70%,56%,93%,63%,19%,68%,30%,98%
6.637499999,3.245833334,Lagos,Alimosho,"  16,732 ","  4,335 ","  1,315 ","  15,953 ","  3,032 ","  9,427 ","  227,325 ","  3,973 ","  2,496 ","  1,892 ","  3,420 ",  934 ,"  4,072 ",30%,95%,70%,56%,92%,58%,44%,79%,22%,94%
6.570833333,3.2375,Lagos,Alimosho,"  10,946 ","  2,833 ",  489 ,"  10,672 ","  2,021 ","  7,390 ","  200,040 ","  2,741 ","  1,284 ",  849 ,"  2,569 ",  964 ,"  2,675 ",17%,97%,71%,68%,97%,45%,30%,91%,34%,94%
6.629166666,3.2625,Lagos,Alimosho,"  13,393 ","  3,461 ",  431 ,"  13,029 ","  2,492 ","  8,938 ","  326,154 ","  3,334 ","  2,888 ","  2,385 ","  3,024 ",  540 ,"  3,321 ",12%,97%,72%,67%,96%,83%,69%,87%,16%,96%
6.512499999,3.2375,Lagos,Alimosho,"  10,791 ","  2,782 ",  137 ,"  10,537 ","  1,910 ","  6,612 ","  224,367 ","  2,384 ","  1,288 ",  540 ,"  2,301 ","  2,569 ","  2,673 ",5%,98%,69%,61%,86%,46%,19%,83%,92%,96%
6.529166666,3.220833334,Lagos,Alimosho,"  15,657 ","  4,032 ",  299 ,"  15,653 ","  2,876 ","  9,294 ","  236,681 ","  3,688 ","  2,014 ","  1,033 ","  3,637 ","  2,787 ","  3,793 ",7%,100%,71%,59%,91%,50%,26%,90%,69%,94%
6.520833333,3.229166667,Lagos,Alimosho,"  8,547 ","  2,201 ",  182 ,"  8,402 ","  1,531 ","  5,259 ","  276,885 ","  1,924 ","  1,123 ",  368 ,"  1,919 ","  1,743 ","  2,058 ",8%,98%,70%,62%,87%,51%,17%,87%,79%,94%
6.612499999,3.245833334,Lagos,Alimosho,"  13,266 ","  3,400 ",  627 ,"  12,867 ","  2,461 ","  8,738 ","  224,150 ","  3,182 ","  1,612 ","  1,252 ","  3,150 ",  680 ,"  3,239 ",18%,97%,72%,66%,94%,47%,37%,93%,20%,95%
6.554166666,3.229166667,Lagos,Alimosho,"  20,270 ","  5,193 ",  785 ,"  19,985 ","  3,749 ","  14,353 ","  191,282 ","  4,932 ","  2,671 ","  1,309 ","  4,763 ","  2,120 ","  4,720 ",15%,99%,72%,71%,95%,51%,25%,92%,41%,91%
6.562499999,3.229166667,Lagos,Alimosho,"  18,613 ","  4,763 ",  727 ,"  18,281 ","  3,399 ","  12,879 ","  189,282 ","  4,513 ","  2,223 ","  1,131 ","  4,309 ","  1,795 ","  4,397 ",15%,98%,71%,69%,95%,47%,24%,90%,38%,92%
6.637499999,3.2625,Lagos,Alimosho,"  14,133 ","  3,609 ",  219 ,"  13,732 ","  2,589 ","  9,077 ","  319,954 ","  3,447 ","  2,824 ","  1,842 ","  2,793 ",  674 ,"  3,450 ",6%,97%,72%,64%,96%,78%,51%,77%,19%,96%
6.545833333,3.2125,Lagos,Alimosho,"  7,936 ","  2,026 ",  184 ,"  7,743 ","  1,425 ","  4,863 ","  220,492 ","  1,844 ",  825 ,  276 ,"  1,799 ","  1,445 ","  1,853 ",9%,98%,70%,61%,91%,41%,14%,89%,71%,91%
6.537499999,3.2125,Lagos,Alimosho,"  13,705 ","  3,495 ",  245 ,"  13,476 ","  2,460 ","  8,200 ","  217,690 ","  3,002 ","  1,539 ",  518 ,"  3,071 ","  3,161 ","  3,245 ",7%,98%,70%,60%,86%,44%,15%,88%,90%,93%
6.570833333,3.245833334,Lagos,Alimosho,"  14,989 ","  3,817 ",  538 ,"  14,742 ","  2,690 ","  10,386 ","  188,338 ","  3,691 ","  2,018 ","  1,115 ","  3,414 ","  1,449 ","  3,581 ",14%,98%,70%,69%,97%,53%,29%,89%,38%,94%
6.579166666,3.2375,Lagos,Alimosho,"  8,721 ","  2,219 ",  445 ,"  8,524 ","  1,560 ","  5,808 ","  192,857 ","  2,171 ",  817 ,  586 ,"  2,069 ",  541 ,"  2,108 ",20%,98%,70%,67%,98%,37%,26%,93%,24%,95%
6.570833333,3.229166667,Lagos,Alimosho,"  6,007 ","  1,527 ",  271 ,"  5,752 ","  1,083 ","  3,945 ","  192,763 ","  1,437 ",  602 ,  344 ,"  1,357 ",  502 ,"  1,433 ",18%,96%,71%,66%,94%,39%,23%,89%,33%,94%
6.512499999,3.245833334,Lagos,Alimosho,"  20,856 ","  5,302 ",  237 ,"  20,349 ","  3,726 ","  13,711 ","  184,842 ","  4,605 ","  2,966 ","  1,173 ","  4,353 ","  3,999 ","  5,093 ",4%,98%,70%,66%,87%,56%,22%,82%,75%,96%
6.554166666,3.2125,Lagos,Alimosho,"  16,942 ","  4,303 ",  510 ,"  16,505 ","  3,061 ","  10,921 ","  222,652 ","  4,041 ","  1,726 ",  476 ,"  3,842 ","  2,525 ","  3,990 ",12%,97%,71%,64%,94%,40%,11%,89%,59%,93%
6.645833333,3.2625,Lagos,Alimosho,"  14,628 ","  3,713 ",  170 ,"  14,182 ","  2,701 ","  8,684 ","  260,776 ","  3,461 ","  2,870 ","  1,352 ","  2,459 ","  1,099 ","  3,481 ",5%,97%,73%,59%,93%,77%,36%,66%,30%,94%
6.545833333,3.2375,Lagos,Alimosho,"  16,672 ","  4,229 ",  563 ,"  16,529 ","  3,122 ","  11,636 ","  212,383 ","  3,963 ","  2,348 ","  1,002 ","  3,744 ","  2,065 ","  3,977 ",13%,99%,74%,70%,94%,56%,24%,89%,49%,94%
6.529166666,3.2125,Lagos,Alimosho,"  14,020 ","  3,556 ",  250 ,"  13,928 ","  2,517 ","  7,612 ","  212,099 ","  3,135 ","  1,618 ",  675 ,"  3,196 ","  3,248 ","  3,391 ",7%,99%,71%,54%,88%,46%,19%,90%,91%,95%
6.562499999,3.220833334,Lagos,Alimosho,"  11,744 ","  2,978 ",  545 ,"  11,501 ","  2,102 ","  7,850 ","  205,922 ","  2,827 ","  1,295 ",  717 ,"  2,666 ","  1,196 ","  2,690 ",18%,98%,71%,67%,95%,43%,24%,90%,40%,90%
6.579166666,3.245833334,Lagos,Alimosho,"  9,916 ","  2,509 ",  468 ,"  9,733 ","  1,735 ","  6,805 ","  203,198 ","  2,411 ","  1,258 ",  896 ,"  2,293 ",  703 ,"  2,337 ",19%,98%,69%,69%,96%,50%,36%,91%,28%,93%
6.612499999,3.2375,Lagos,Alimosho,"  2,629 ",  665 ,  136 ,"  2,471 ",  472 ,"  1,627 ","  220,910 ",  610 ,  269 ,  195 ,  601 ,  185 ,  621 ,20%,94%,71%,62%,92%,41%,29%,90%,28%,93%
6.512499999,3.229166667,Lagos,Alimosho,"  7,234 ","  1,828 ",  95 ,"  7,009 ","  1,247 ","  4,044 ","  250,269 ","  1,567 ",  684 ,  258 ,"  1,543 ","  1,771 ","  1,747 ",5%,97%,68%,56%,86%,37%,14%,84%,97%,96%
6.562499999,3.2375,Lagos,Alimosho,"  17,656 ","  4,449 ",  568 ,"  17,284 ","  3,241 ","  11,994 ","  182,523 ","  4,275 ","  2,328 ","  1,147 ","  3,931 ","  1,837 ","  4,235 ",13%,98%,73%,68%,96%,52%,26%,88%,41%,95%
6.654166666,3.2625,Lagos,Alimosho,"  16,808 ","  4,227 ",  190 ,"  16,342 ","  3,093 ","  10,951 ","  247,440 ","  3,956 ","  3,193 ","  1,155 ","  2,792 ","  1,388 ","  3,924 ",4%,97%,73%,65%,94%,76%,27%,66%,33%,93%
6.520833333,3.220833334,Lagos,Alimosho,"  5,660 ","  1,421 ",  84 ,"  5,608 ",  996 ,"  3,134 ","  226,863 ","  1,217 ",  650 ,  150 ,"  1,258 ","  1,316 ","  1,334 ",6%,99%,70%,55%,86%,46%,11%,88%,93%,94%
6.662499999,3.2625,Lagos,Alimosho,"  20,901 ","  5,244 ",  199 ,"  20,211 ","  3,863 ","  13,372 ","  246,740 ","  5,023 ","  3,619 ",  748 ,"  3,848 ","  1,915 ","  4,947 ",4%,97%,74%,64%,96%,69%,14%,73%,37%,94%
6.604166666,3.2375,Lagos,Alimosho,"  16,589 ","  4,156 ",  782 ,"  16,096 ","  2,978 ","  11,106 ","  223,190 ","  3,916 ","  2,216 ","  1,222 ","  3,833 ",  982 ,"  3,976 ",19%,97%,72%,67%,94%,53%,29%,92%,24%,96%
6.579166666,3.229166667,Lagos,Alimosho,"  7,823 ","  1,959 ",  383 ,"  7,429 ","  1,384 ","  5,033 ","  190,021 ","  1,877 ",  477 ,  347 ,"  1,771 ",  390 ,"  1,873 ",20%,95%,71%,64%,96%,24%,18%,90%,20%,96%
6.504166666,3.2375,Lagos,Alimosho,"  1,617 ",  404 ,  17 ,"  1,570 ",  282 ,  897 ,"  171,790 ",  336 ,  86 ,  9 ,  321 ,  396 ,  401 ,4%,97%,70%,55%,83%,21%,2%,79%,98%,99%
6.620833333,3.2625,Lagos,Alimosho,"  9,740 ","  2,434 ",  271 ,"  9,523 ","  1,762 ","  6,776 ","  272,750 ","  2,323 ","  1,565 ",  985 ,"  2,122 ",  537 ,"  2,335 ",11%,98%,72%,70%,95%,64%,40%,87%,22%,96%
6.579166666,3.254166667,Lagos,Alimosho,"  5,248 ","  1,310 ",  219 ,"  5,162 ",  916 ,"  3,686 ","  230,424 ","  1,233 ",  736 ,  499 ,"  1,167 ",  403 ,"  1,232 ",17%,98%,70%,70%,94%,56%,38%,89%,31%,94%
6.504166666,3.245833334,Lagos,Alimosho,"  5,286 ","  1,319 ",  66 ,"  5,125 ",  926 ,"  3,176 ","  193,827 ","  1,021 ",  588 ,  120 ,  901 ,"  1,228 ","  1,301 ",5%,97%,70%,60%,77%,45%,9%,68%,93%,99%
6.520833333,3.2125,Lagos,Alimosho,"  3,528 ",  880 ,  59 ,"  3,496 ",  620 ,"  1,795 ","  192,421 ",  750 ,  393 ,  86 ,  787 ,  837 ,  807 ,7%,99%,70%,51%,85%,45%,10%,89%,95%,92%
6.520833333,3.245833334,Lagos,Alimosho,"  22,017 ","  5,491 ",  161 ,"  21,590 ","  3,951 ","  15,184 ","  184,654 ","  5,024 ","  3,378 ","  1,130 ","  4,606 ","  3,444 ","  5,199 ",3%,98%,72%,69%,92%,62%,21%,84%,63%,95%
6.587499999,3.2375,Lagos,Alimosho,"  15,814 ","  3,943 ",  764 ,"  15,549 ","  2,782 ","  10,702 ","  190,489 ","  3,862 ","  1,308 ",  998 ,"  3,650 ",  593 ,"  3,820 ",19%,98%,71%,68%,98%,33%,25%,93%,15%,97%
6.595833333,3.2375,Lagos,Alimosho,"  17,468 ","  4,341 ",  792 ,"  17,207 ","  3,102 ","  12,135 ","  205,985 ","  4,217 ","  2,214 ","  1,206 ","  3,876 ","  1,079 ","  4,092 ",18%,99%,71%,69%,97%,51%,28%,89%,25%,94%
6.512499999,3.220833334,Lagos,Alimosho,"  7,006 ","  1,741 ",  99 ,"  6,874 ","  1,202 ","  3,698 ","  200,525 ","  1,490 ",  581 ,  100 ,"  1,517 ","  1,640 ","  1,638 ",6%,98%,69%,53%,86%,33%,6%,87%,94%,94%
6.504166666,3.229166667,Lagos,Alimosho,"  4,246 ","  1,052 ",  54 ,"  4,089 ",  727 ,"  2,120 ","  190,346 ",  949 ,  163 ,  12 ,  975 ,"  1,013 ","  1,009 ",5%,96%,69%,50%,90%,16%,1%,93%,96%,96%
6.587499999,3.229166667,Lagos,Alimosho,"  18,461 ","  4,571 ",  754 ,"  17,927 ","  3,233 ","  12,017 ","  189,447 ","  4,510 ",  598 ,  698 ,"  4,246 ",  252 ,"  4,458 ",16%,97%,71%,65%,99%,13%,15%,93%,6%,98%
6.604166666,3.245833334,Lagos,Alimosho,"  11,415 ","  2,818 ",  402 ,"  11,139 ","  2,045 ","  7,922 ","  210,529 ","  2,744 ","  1,791 ",  579 ,"  2,532 ",  976 ,"  2,641 ",14%,98%,73%,69%,97%,64%,21%,90%,35%,94%
6.629166666,3.270833334,Lagos,Alimosho,"  11,706 ","  2,889 ",  216 ,"  11,443 ","  2,096 ","  7,638 ","  267,023 ","  2,704 ","  2,075 ","  1,252 ","  2,321 ",  893 ,"  2,689 ",7%,98%,73%,65%,94%,72%,43%,80%,31%,93%
6.612499999,3.254166667,Lagos,Alimosho,"  17,148 ","  4,229 ",  461 ,"  16,840 ","  3,104 ","  12,028 ","  227,554 ","  4,031 ","  2,591 ","  1,404 ","  3,803 ","  1,427 ","  4,085 ",11%,98%,73%,70%,95%,61%,33%,90%,34%,97%
6.562499999,3.2125,Lagos,Alimosho,"  1,697 ",  418 ,  54 ,"  1,616 ",  297 ,"  1,082 ","  208,684 ",  383 ,  157 ,  53 ,  347 ,  216 ,  385 ,13%,95%,71%,64%,92%,38%,13%,83%,52%,92%
