Latitude,Longtitude,State,LGA,Population,Number of households,Number of households offgrid,Number of people owning mobile phones,Number of households owning radios,Number of ABC1 consumers,Median annual household spending per capita,"Number of households spending over 110,000 N annually per capita","Number of households spending over 5,000 N monthly on energy","Number of households spending over 10,000 N monthly on energy","Number of households spending over 250,000 N annually on discretionary expenses",Number of households with generators,Number of households with televisions,Proportion of households offgrid,Proportion of people owning mobile phones,Proportion of households owning radios,Proportion of ABC1 consumers,"Proportion of households spending over 110,000 N annually per capita","Proportion of households spending over 5,000 N monthly on energy","Proportion of households spending over 10,000 N monthly on energy","Proportion of households spending over 250,000 N annually on discretionary expenses",Proportion of households with generators,Proportion of households with televisions
6.429166666,2.904166667,Lagos,Badagry,"  2,083 ",  489 ,  65 ,"  2,047 ",  320 ,  898 ,"  169,782 ",  242 ,  321 ,  5 ,  364 ,  392 ,  407 ,13%,98%,65%,43%,49%,66%,1%,74%,80%,83%
6.420833333,3.004166667,Lagos,Badagry,  440 ,  103 ,  8 ,  421 ,  69 ,  154 ,"  148,771 ",  69 ,  50 ,  3 ,  70 ,  79 ,  75 ,8%,96%,67%,35%,67%,49%,3%,68%,76%,72%
6.429166666,2.920833334,Lagos,Badagry,  347 ,  81 ,  12 ,  340 ,  53 ,  147 ,"  149,551 ",  41 ,  46 ,  1 ,  58 ,  62 ,  67 ,15%,98%,65%,42%,51%,57%,1%,71%,77%,83%
6.462499999,2.8875,Lagos,Badagry,  188 ,  44 ,  8 ,  178 ,  26 ,  46 ,"  124,406 ",  32 ,  18 ,  1 ,  30 ,  32 ,  33 ,19%,95%,59%,25%,73%,41%,3%,67%,72%,74%
6.429166666,3.0125,Lagos,Badagry,  30 ,  7 ,  1 ,  28 ,  4 ,  8 ,"  140,403 ",  4 ,  4 ,  0 ,  4 ,  5 ,  5 ,12%,95%,62%,28%,62%,52%,3%,64%,78%,75%
6.495833333,3.095833334,Lagos,Badagry,"  2,787 ",  652 ,  131 ,"  2,680 ",  438 ,"  1,623 ","  237,200 ",  574 ,  342 ,  63 ,  539 ,  464 ,  539 ,20%,96%,67%,58%,88%,52%,10%,83%,71%,83%
6.429166666,3.104166667,Lagos,Badagry,  285 ,  67 ,  15 ,  227 ,  39 ,  72 ,"  153,102 ",  35 ,  26 ,  11 ,  39 ,  46 ,  38 ,22%,80%,59%,25%,53%,39%,16%,59%,69%,57%
6.429166666,2.820833334,Lagos,Badagry,"  2,349 ",  548 ,  55 ,"  2,235 ",  353 ,  814 ,"  147,115 ",  316 ,  244 ,  15 ,  353 ,  363 ,  397 ,10%,95%,64%,35%,58%,44%,3%,64%,66%,73%
6.420833333,2.879166667,Lagos,Badagry,"  1,962 ",  456 ,  55 ,"  1,900 ",  303 ,  943 ,"  159,697 ",  282 ,  276 ,  27 ,  317 ,  331 ,  379 ,12%,97%,66%,48%,62%,61%,6%,70%,73%,83%
6.437499999,2.8625,Lagos,Badagry,  245 ,  57 ,  9 ,  234 ,  35 ,  78 ,"  147,992 ",  34 ,  28 ,  3 ,  38 ,  40 ,  42 ,15%,96%,62%,32%,60%,49%,5%,68%,71%,73%
6.470833333,2.895833334,Lagos,Badagry,  168 ,  39 ,  7 ,  161 ,  23 ,  43 ,"  127,779 ",  29 ,  17 ,  1 ,  23 ,  28 ,  26 ,17%,96%,58%,26%,74%,43%,2%,58%,71%,67%
6.479166666,3.070833334,Lagos,Badagry,"  1,379 ",  320 ,  38 ,"  1,332 ",  210 ,  689 ,"  190,250 ",  269 ,  186 ,  14 ,  270 ,  242 ,  252 ,12%,97%,66%,50%,84%,58%,4%,84%,76%,79%
6.420833333,3.0125,Lagos,Badagry,  576 ,  134 ,  11 ,  549 ,  89 ,  188 ,"  133,628 ",  94 ,  62 ,  6 ,  90 ,  100 ,  99 ,8%,95%,67%,33%,71%,47%,4%,68%,75%,74%
6.462499999,2.879166667,Lagos,Badagry,  11 ,  3 ,  1 ,  10 ,  1 ,  3 ,"  117,709 ",  2 ,  1 ,  0 ,  2 ,  2 ,  1 ,27%,92%,57%,26%,67%,42%,2%,64%,71%,57%
6.429166666,2.870833334,Lagos,Badagry,  993 ,  230 ,  33 ,  957 ,  152 ,  417 ,"  151,894 ",  116 ,  139 ,  5 ,  164 ,  182 ,  188 ,14%,96%,66%,42%,50%,60%,2%,71%,79%,82%
6.429166666,2.9125,Lagos,Badagry,  720 ,  167 ,  24 ,  706 ,  108 ,  301 ,"  159,244 ",  85 ,  102 ,  1 ,  116 ,  133 ,  138 ,14%,98%,65%,42%,51%,61%,1%,69%,80%,83%
6.420833333,2.870833334,Lagos,Badagry,  107 ,  25 ,  4 ,  103 ,  16 ,  45 ,"  151,711 ",  17 ,  13 ,  1 ,  18 ,  17 ,  18 ,14%,96%,66%,42%,68%,51%,4%,71%,69%,74%
6.420833333,2.820833334,Lagos,Badagry,  166 ,  38 ,  6 ,  158 ,  24 ,  50 ,"  132,746 ",  24 ,  16 ,  2 ,  23 ,  24 ,  27 ,16%,95%,64%,30%,61%,41%,4%,59%,62%,69%
6.412499999,2.995833334,Lagos,Badagry,  170 ,  39 ,  6 ,  159 ,  26 ,  63 ,"  160,616 ",  26 ,  19 ,  1 ,  27 ,  26 ,  26 ,16%,94%,65%,37%,67%,47%,4%,68%,65%,66%
6.420833333,2.804166667,Lagos,Badagry,  42 ,  10 ,  2 ,  40 ,  6 ,  12 ,"  144,341 ",  6 ,  5 ,  0 ,  6 ,  6 ,  7 ,16%,94%,62%,28%,64%,47%,3%,57%,67%,71%
6.420833333,2.8125,Lagos,Badagry,  168 ,  39 ,  6 ,  159 ,  25 ,  51 ,"  138,649 ",  25 ,  17 ,  1 ,  23 ,  25 ,  27 ,16%,95%,63%,31%,64%,43%,3%,59%,65%,69%
6.420833333,3.020833334,Lagos,Badagry,  433 ,  100 ,  11 ,  410 ,  65 ,  130 ,"  117,325 ",  71 ,  45 ,  4 ,  66 ,  72 ,  73 ,11%,95%,65%,30%,71%,44%,4%,66%,72%,73%
6.412499999,2.8375,Lagos,Badagry,  21 ,  5 ,  1 ,  20 ,  3 ,  7 ,"  128,536 ",  3 ,  2 ,  0 ,  3 ,  3 ,  3 ,24%,94%,61%,31%,58%,43%,3%,57%,64%,63%
6.487499999,3.095833334,Lagos,Badagry,  389 ,  89 ,  19 ,  356 ,  58 ,  198 ,"  213,088 ",  76 ,  44 ,  19 ,  74 ,  59 ,  62 ,21%,91%,65%,51%,85%,49%,21%,83%,66%,69%
6.412499999,2.845833334,Lagos,Badagry,  95 ,  22 ,  4 ,  90 ,  13 ,  30 ,"  143,035 ",  13 ,  10 ,  1 ,  13 ,  14 ,  16 ,18%,94%,61%,32%,58%,47%,6%,58%,65%,72%
6.470833333,3.1125,Lagos,Badagry,  429 ,  98 ,  9 ,  419 ,  65 ,  205 ,"  204,357 ",  78 ,  46 ,  24 ,  73 ,  71 ,  71 ,9%,98%,66%,48%,79%,47%,24%,74%,72%,72%
6.429166666,2.8625,Lagos,Badagry,  19 ,  4 ,  1 ,  18 ,  3 ,  7 ,"  160,257 ",  3 ,  2 ,  0 ,  3 ,  3 ,  3 ,19%,94%,61%,35%,62%,50%,6%,66%,70%,71%
6.412499999,2.8875,Lagos,Badagry,"  2,928 ",  670 ,  82 ,"  2,777 ",  438 ,"  1,264 ","  168,214 ",  491 ,  390 ,  75 ,  504 ,  503 ,  545 ,12%,95%,65%,43%,73%,58%,11%,75%,75%,81%
6.420833333,2.8375,Lagos,Badagry,  399 ,  91 ,  15 ,  378 ,  55 ,  120 ,"  151,981 ",  56 ,  38 ,  4 ,  53 ,  55 ,  55 ,16%,95%,61%,30%,61%,41%,4%,58%,61%,60%
6.420833333,2.795833334,Lagos,Badagry,  42 ,  10 ,  1 ,  40 ,  6 ,  11 ,"  144,211 ",  6 ,  5 ,  0 ,  5 ,  6 ,  7 ,15%,94%,62%,27%,67%,47%,4%,57%,66%,72%
6.412499999,2.9375,Lagos,Badagry,"  1,993 ",  455 ,  81 ,"  1,847 ",  295 ,  693 ,"  160,914 ",  291 ,  255 ,  9 ,  314 ,  325 ,  336 ,18%,93%,65%,35%,64%,56%,2%,69%,71%,74%
6.404166666,2.779166667,Lagos,Badagry,  67 ,  15 ,  6 ,  64 ,  9 ,  18 ,"  106,088 ",  10 ,  7 ,  0 ,  9 ,  10 ,  11 ,37%,95%,62%,27%,67%,49%,3%,57%,65%,74%
6.412499999,2.9125,Lagos,Badagry,  272 ,  62 ,  17 ,  251 ,  40 ,  96 ,"  158,640 ",  38 ,  36 ,  2 ,  45 ,  44 ,  49 ,27%,92%,65%,35%,62%,58%,3%,72%,70%,79%
6.412499999,2.920833334,Lagos,Badagry,"  1,115 ",  254 ,  73 ,"  1,026 ",  164 ,  394 ,"  154,665 ",  155 ,  143 ,  7 ,  185 ,  185 ,  196 ,29%,92%,65%,35%,61%,56%,3%,73%,73%,77%
6.429166666,2.720833334,Lagos,Badagry,  244 ,  56 ,  7 ,  234 ,  38 ,  75 ,"  157,847 ",  35 ,  26 ,  1 ,  35 ,  41 ,  38 ,12%,96%,67%,31%,63%,47%,1%,63%,73%,68%
6.437499999,2.8125,Lagos,Badagry,  352 ,  80 ,  8 ,  328 ,  50 ,  124 ,"  146,794 ",  51 ,  29 ,  3 ,  50 ,  51 ,  50 ,10%,93%,63%,35%,63%,36%,3%,62%,64%,63%
6.479166666,3.079166667,Lagos,Badagry,  818 ,  187 ,  20 ,  788 ,  124 ,  419 ,"  187,406 ",  147 ,  95 ,  20 ,  146 ,  137 ,  140 ,11%,96%,66%,51%,79%,51%,11%,78%,74%,75%
6.412499999,2.945833334,Lagos,Badagry,  163 ,  37 ,  7 ,  149 ,  24 ,  53 ,"  159,009 ",  22 ,  20 ,  1 ,  26 ,  27 ,  27 ,19%,92%,64%,33%,60%,53%,2%,70%,72%,72%
6.412499999,2.904166667,Lagos,Badagry,  632 ,  144 ,  34 ,  585 ,  93 ,  237 ,"  163,796 ",  94 ,  85 ,  3 ,  107 ,  106 ,  115 ,24%,92%,65%,37%,65%,59%,2%,75%,73%,80%
6.412499999,2.929166667,Lagos,Badagry,"  3,027 ",  690 ,  173 ,"  2,793 ",  444 ,"  1,086 ","  157,852 ",  442 ,  387 ,  14 ,  494 ,  513 ,  519 ,25%,92%,64%,36%,64%,56%,2%,72%,74%,75%
6.437499999,2.795833334,Lagos,Badagry,  158 ,  36 ,  8 ,  147 ,  21 ,  36 ,"  136,831 ",  22 ,  13 ,  1 ,  21 ,  24 ,  23 ,22%,93%,59%,23%,62%,35%,3%,59%,66%,64%
6.420833333,2.7875,Lagos,Badagry,  155 ,  35 ,  5 ,  148 ,  22 ,  40 ,"  145,460 ",  24 ,  15 ,  1 ,  21 ,  23 ,  26 ,14%,96%,62%,26%,69%,42%,4%,58%,65%,74%
